Date,Close
11/29/2019 23:58:00,3.765142842
11/30/2019 23:58:00,3.765046586
12/1/2019 23:58:00,3.714595942
12/2/2019 23:58:00,3.77953096
12/3/2019 23:58:00,3.763855844
12/4/2019 23:58:00,3.752964984
12/5/2019 23:58:00,3.771255312
12/6/2019 23:58:00,3.762955805
12/7/2019 23:58:00,3.762955805
12/9/2019 23:58:00,3.759114732
12/10/2019 23:58:00,3.764876857
12/11/2019 23:58:00,3.761650838
12/12/2019 23:58:00,3.750331044
12/13/2019 23:58:00,3.762925812
12/14/2019 23:58:00,3.762925812
12/16/2019 23:58:00,3.777535297
12/17/2019 23:58:00,3.776691248
12/18/2019 23:58:00,3.769126998
12/19/2019 23:58:00,3.774047287
12/20/2019 23:58:00,3.763655538
12/21/2019 23:58:00,3.763655538
12/23/2019 23:58:00,3.76891326
12/24/2019 23:58:00,3.767627148
12/25/2019 23:58:00,3.779458785
12/26/2019 23:58:00,3.777293577
12/27/2019 23:58:00,3.767461261
12/28/2019 23:58:00,3.767461261
12/30/2019 23:58:00,3.751212257
12/31/2019 23:58:00,3.695729071
1/1/2020 23:58:00,3.675859418
1/2/2020 23:58:00,3.746116342
1/3/2020 23:58:00,3.735706633
1/4/2020 23:58:00,3.735706633
1/6/2020 23:58:00,3.712094648
1/7/2020 23:58:00,3.697214192
1/8/2020 23:58:00,3.713562173
1/9/2020 23:58:00,3.712851963
1/10/2020 23:58:00,3.704851194
1/11/2020 23:58:00,3.713322821
1/12/2020 23:58:00,3.651166979
1/13/2020 23:58:00,3.682921337
1/14/2020 23:58:00,3.682634689
1/15/2020 23:58:00,3.654444027
1/16/2020 23:58:00,3.667556814
1/17/2020 23:58:00,3.672700346
1/18/2020 23:58:00,3.672700346
1/20/2020 23:58:00,3.667132175
1/21/2020 23:58:00,3.671231685
1/22/2020 23:58:00,3.667774517
1/23/2020 23:58:00,3.660436615
1/24/2020 23:58:00,3.661881569
1/25/2020 23:58:00,3.661881569
1/27/2020 23:58:00,3.548759146
1/28/2020 23:58:00,3.666018992
1/29/2020 23:58:00,3.653431179
1/30/2020 23:58:00,3.66641362
1/31/2020 23:58:00,3.702155036
2/1/2020 23:58:00,3.702155036
2/3/2020 23:58:00,3.700055254
2/4/2020 23:58:00,3.686496386
2/5/2020 23:58:00,3.672896509
2/6/2020 23:58:00,3.683789442
2/7/2020 23:58:00,3.680595941
2/8/2020 23:58:00,3.680595941
2/10/2020 23:58:00,3.684133037
2/11/2020 23:58:00,3.675465225
2/12/2020 23:58:00,3.639799504
2/13/2020 23:58:00,3.692430489
2/14/2020 23:58:00,3.688417255
2/15/2020 23:58:00,3.688417255
2/17/2020 23:58:00,3.68312457
2/18/2020 23:58:00,3.709126736
2/19/2020 23:58:00,3.713290364
2/20/2020 23:58:00,3.688949409
2/21/2020 23:58:00,3.705409192
2/22/2020 23:58:00,3.705409192
2/24/2020 23:58:00,3.736602075
2/25/2020 23:58:00,3.775660239
2/26/2020 23:58:00,3.744039836
2/27/2020 23:58:00,3.816588336
2/28/2020 23:58:00,3.81716328
2/29/2020 23:58:00,3.81716328
3/2/2020 23:58:00,3.79490562
3/3/2020 23:58:00,3.795455352
3/4/2020 23:58:00,3.809602368
3/5/2020 23:58:00,3.818116091
